,Timestamp,Data Source,Display Name,Display Valule,Raw Value
0,2019-03-01T11:00:32Z,Cell Radio,Radio Access Technology,3G (HSDPA),3G (HSDPA)
1,2019-03-01T11:00:32Z,Cell Radio,Carrier,3 Ireland,3 Ireland
2,2019-03-01T11:00:32Z,GPS,Enabled,Yes,TRUE
3,2019-03-01T11:00:32Z,GPS,Authorisation Status,Authorised When In Use,Authorised When In Use
4,2019-03-01T11:00:32Z,GPS,Latitude,53.34359741,53.34359741
5,2019-03-01T11:00:32Z,GPS,Longitude,-6.250789916,-6.250789916
6,2019-03-01T11:00:32Z,GPS,Speed (estimated),Unknown,-1
7,2019-03-01T11:00:32Z,GPS,Altitude,11.3299655914307 Meters,11.32996559
8,2019-03-01T11:00:32Z,GPS,Floor,2146959360,2146959360
9,2019-03-01T11:00:32Z,GPS,Horizontal Accuracy,65 Meters,65
10,2019-03-01T11:00:32Z,GPS,Vertical Accuracy,10 Meters,10
11,2019-03-01T11:00:32Z,Cell Radio,Radio Access Technology,3G (HSDPA),3G (HSDPA)
12,2019-03-01T11:00:32Z,Cell Radio,Carrier,3 Ireland,3 Ireland
13,2019-03-01T11:00:32Z,GPS,Enabled,Yes,TRUE
14,2019-03-01T11:00:32Z,GPS,Authorisation Status,Authorised When In Use,Authorised When In Use
15,2019-03-01T11:00:32Z,GPS,Latitude,53.34359741,53.34359741
16,2019-03-01T11:00:32Z,GPS,Longitude,-6.250789916,-6.250789916
17,2019-03-01T11:00:32Z,GPS,Speed (estimated),Unknown,-1
18,2019-03-01T11:00:32Z,GPS,Altitude,11.3299655914307 Meters,11.32996559
19,2019-03-01T11:00:32Z,GPS,Floor,2146959360,2146959360
20,2019-03-01T11:00:32Z,GPS,Horizontal Accuracy,65 Meters,65
21,2019-03-01T11:00:32Z,GPS,Vertical Accuracy,10 Meters,10
22,2019-03-01T11:00:32Z,Acceleration (total),x,0.065200806,0.065200806
23,2019-03-01T11:00:32Z,Acceleration (total),y,-0.44406122,-0.44406122
